file,seed,episode,obj,object_width_m,head_scale,calibrate,sensors_only,result,picked,dropped,drop_phase,arm_hit,food_touch,touch_size,touch_speed,stop_size,near_vmax,vmax,amax,ahead,side,n_steps
s101_ep0000.json,101,0,mug,0.054433793412744846,0.990056377674764,True,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,146.46239661307777,364.2536400671873,76
s101_ep0001.json,101,1,mug,0.052465622742454476,0.9694458910071596,True,True,ok food touched the face at a crawl,True,False,,,True,47.386116087430075,0.011348814626378125,,0.011348814626378125,0.17795419664803858,0.3895202563062316,37.769495447547264,7.5739902500835115,463
s101_ep0002.json,101,2,block,0.023698725136016285,0.9618140922192991,True,True,ok food touched the face at a crawl,True,False,,,True,51.533213332430584,0.006912863894594603,,0.007387971174229577,0.12146142158895351,0.2438155618262942,4.580239607189701,0.04690400515152105,775
s101_ep0003.json,101,3,mug,0.05148721918582371,0.9383923098177779,True,True,ok food touched the face at a crawl,True,False,,,True,47.617826412227885,0.011005413941290728,,0.01280912218719484,0.2132022833275983,0.42256410098397185,41.89765972607437,2.3717002991053797,369
s101_ep0004.json,101,4,mug,0.04814348423145551,1.0383361539751608,True,True,ok food touched the face at a crawl,True,False,,,True,51.659018054039095,0.011399480585136422,,0.012943220205472951,0.21333786398299584,0.43656363827700445,33.10459135585998,7.581206195061698,465
s101_ep0005.json,101,5,mug,0.050394616551339214,1.0209992888749257,True,True,ok food touched the face at a crawl,True,False,,,True,52.36789182212491,0.011427899162800105,,0.01270319523819298,0.21347363391346877,0.4967830910906625,32.30649695609452,11.594144628672737,464
s101_ep0006.json,101,6,mug,0.04864099919724469,1.0377084431884132,True,True,ok food touched the face at a crawl,True,False,,,True,55.13380965288242,0.012155111877610723,,0.012873151424649664,0.21200682337078103,0.4391447174299287,31.632828456128998,8.718197154460798,500
s101_ep0007.json,101,7,mug,0.05026942821775297,1.0560960460756192,True,True,ok food touched the face at a crawl,True,False,,,True,52.95605604981049,0.011795265776489313,,0.01326541303251451,0.20258900855912937,0.5899631127992527,16.318749123567933,17.607806404355724,507
s101_ep0008.json,101,8,mug,0.054758434922688365,0.969306238189884,True,True,ok food touched the face at a crawl,True,False,,,True,48.93598366796457,0.011732781784823561,,0.012544237648001312,0.21138435286936086,0.5886722085851955,38.09800473931736,1.7740266119644506,433
s101_ep0009.json,101,9,mug,0.05308251697999498,0.9204906161486726,True,True,ok food touched the face at a crawl,True,False,,,True,46.07433621635076,0.012754799231124873,,0.012778374618065,0.20788352314205336,0.4553777153408103,38.7475710734176,6.641739000626243,400
s101_ep0010.json,101,10,apple,0.05083593522387618,1.0127753377295283,True,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,54.750880336383815,346.3316909141068,252
s101_ep0011.json,101,11,block,0.05464564123783636,1.0796546827401166,True,True,3 picked up but the lift stalled at 59 mm (needs 100),False,False,,,False,,,,0.0,0.0,0.0,189.6793989408759,321.8663003503051,99
s101_ep0012.json,101,12,mug,0.05322616634774048,0.995337236628542,True,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,348.3159432913577,417.8273689960518,252
