file,seed,episode,obj,object_width_m,head_scale,calibrate,sensors_only,result,picked,dropped,drop_phase,arm_hit,food_touch,touch_size,touch_speed,stop_size,near_vmax,vmax,amax,ahead,side,n_steps
s201_ep0000.json,201,0,block,0.029650634800741916,1.0499822066306317,False,True,ok FED,True,False,,,False,,,47.36121627024465,0.00768161202848449,0.13059204164938967,0.26196120918556126,51.55671331689011,14.305309350914909,600
s201_ep0001.json,201,1,apple,0.049946660942702024,1.0231847580907927,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,134.2915328416163,350.7334737152758,252
s201_ep0002.json,201,2,block,0.029944513171804278,0.9778329490585996,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,187.07864099025974,370.73541746645014,134
s201_ep0003.json,201,3,apple,0.05270534693393288,0.9690423053282574,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,36.88561453603779,350.0090410445072,252
s201_ep0004.json,201,4,apple,0.03883164566201972,0.9586904855645083,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,156.3427622451544,361.24961001522655,252
s201_ep0005.json,201,5,apple,0.054098364874789466,1.0410193344168523,False,True,ok FED,True,False,,,False,,,47.43790745977165,0.011445224080260745,0.1964265907349239,0.38437123608035545,48.71312794516408,20.922465266239836,437
s201_ep0006.json,201,6,apple,0.039544297332677544,1.0300954893378051,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,149.88720287812143,354.1194310746395,252
s201_ep0007.json,201,7,mug,0.050908358231788776,1.024916920015657,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,382.6130948064383,420.78100318170084,50
s201_ep0008.json,201,8,apple,0.03005397188964394,1.00933983016838,False,True,3 no seated pinch,False,False,,,False,,,,0.0,0.0,0.0,145.37933762105268,366.59133796271124,252
s201_ep0009.json,201,9,apple,0.053456984587910525,0.9644417266574775,False,True,3 picked up but the lift stalled at 33 mm (needs 100),False,False,,,False,,,,0.0,0.0,0.0,324.9917736543082,342.5817878243176,80
s201_ep0010.json,201,10,apple,0.0533905885924516,0.9973665314038974,False,True,ok FED,True,False,,,False,,,47.38894305984339,0.012630266941974324,0.22203806403394152,0.5270569298730658,39.549716086614175,9.50134667276317,415
s201_ep0011.json,201,11,block,0.02614370690119317,0.9393428190413154,False,True,ok FED,True,False,,,False,,,47.31836573368508,0.007089124906080256,0.11733566711997363,0.19981268542195074,39.38729032041577,20.196276840247794,636
s201_ep0012.json,201,12,block,0.05315877303633701,1.0404671192502395,False,True,3 picked up but the lift stalled at 88 mm (needs 100),False,False,,,False,,,,0.0,0.0,0.0,184.3674517108877,288.7540762227507,87
s201_ep0013.json,201,13,mug,0.054326122989875165,0.973281500907751,False,True,ok FED,True,False,,,False,,,47.071189529541236,0.012178202118079256,0.20890040587960151,0.4262843884755997,57.803111168463204,6.3341842491300895,407
